id,slug,startDate,lastTradePrice
626947,nhl-nsh-phi-2025-10-30,2025-10-07T22:14:14.76869Z,1.0
626952,nhl-chi-wpg-2025-10-30,2025-10-07T22:14:10.799294Z,1.0
626955,nhl-nj-sj-2025-10-30,2025-10-07T22:14:26.418772Z,1.0
626958,nhl-nyi-wsh-2025-10-31,2025-10-07T22:14:34.017395Z,1.0
626961,nhl-pit-wpg-2025-11-01,2025-10-07T22:14:46.790934Z,1.0
626963,nhl-col-sj-2025-11-01,2025-10-07T22:14:50.933958Z,1.0
626964,nhl-dal-fla-2025-11-01,2025-10-07T22:14:46.528312Z,1.0
626971,nhl-nyr-sea-2025-11-01,2025-10-07T22:14:51.996036Z,1.0
626972,nhl-chi-edm-2025-11-01,2025-10-07T22:15:06.068936Z,1.0
626974,nhl-cbj-nyi-2025-11-02,2025-10-07T22:15:08.354044Z,1.0
626977,nhl-det-sj-2025-11-02,2025-10-07T22:15:03.867955Z,1.0
626978,nhl-pit-tor-2025-11-03,2025-10-07T22:15:09.994523Z,1.0
626980,nhl-edm-stl-2025-11-03,2025-10-07T22:15:05.805813Z,1.0
626981,nhl-chi-sea-2025-11-03,2025-10-07T22:15:21.972158Z,1.0
628665,nhl-car-nyr-2025-11-04,2025-10-09T15:31:18.77022Z,1.0
628666,nhl-bos-nyi-2025-11-04,2025-10-09T15:31:15.63952Z,1.0
626891,nhl-chi-tb-2025-10-23,2025-10-07T22:12:13.589066Z,1.0
626894,nhl-det-nyi-2025-10-23,2025-10-07T22:12:29.747806Z,1.0
626895,nhl-ana-bos-2025-10-23,2025-10-07T22:12:26.372625Z,1.0
626896,nhl-sea-wpg-2025-10-23,2025-10-07T22:12:32.657504Z,1.0
626900,nhl-car-col-2025-10-23,2025-10-07T22:12:30.524814Z,1.0
626906,nhl-nyi-phi-2025-10-25,2025-10-07T22:12:50.252814Z,1.0
626908,nhl-ana-tb-2025-10-25,2025-10-07T22:12:54.977432Z,1.0
626911,nhl-ott-wsh-2025-10-25,2025-10-07T22:12:52.250739Z,1.0
626912,nhl-mon-van-2025-10-25,2025-10-07T22:12:57.093085Z,1.0
