kalshi_ticker,poly_slug,date,poly_result,kalshi_result,poly_price,matching
KXNHLGAME-25DEC23NYRWSH-NYR,nhl-nyr-wsh-2025-12-23,2025-11-26T16:31:28.527351Z,yes,yes,1.0,1
KXNHLGAME-25DEC23DALDET-DET,nhl-dal-det-2025-12-23,2025-11-26T16:31:30.873502Z,yes,yes,1.0,1
KXNHLGAME-25DEC23PITTOR-TOR,nhl-pit-tor-2025-12-23,2025-11-26T16:31:28.26725Z,yes,yes,1.0,1
KXNHLGAME-25DEC22STLTB-TB,nhl-stl-tb-2025-12-22,2025-11-25T16:31:22.578307Z,yes,yes,1.0,1
KXNHLGAME-25DEC21MTLPIT-PIT,nhl-mon-pit-2025-12-21,2025-11-24T16:31:10.751236Z,yes,yes,1.0,1
KXNHLGAME-25DEC21BUFNJ-BUF,nhl-buf-nj-2025-12-21,2025-11-24T16:31:11.528368Z,yes,yes,1.0,1
KXNHLGAME-25DEC21COLMIN-COL,nhl-col-min-2025-12-21,2025-11-24T16:31:11.270603Z,yes,yes,1.0,1
KXNHLGAME-25DEC20SEASJ-SEA,nhl-sea-sj-2025-12-20,2025-11-23T16:31:26.814045Z,yes,yes,1.0,1
KXNHLGAME-25DEC20CARTB-TB,nhl-car-tb-2025-12-20,2025-11-23T16:31:23.860897Z,yes,yes,1.0,1
KXNHLGAME-25DEC20CHIOTT-OTT,nhl-chi-ott-2025-12-20,2025-11-23T16:31:21.063296Z,yes,yes,1.0,1
KXNHLGAME-25DEC20DETWSH-DET,nhl-det-wsh-2025-12-20,2025-11-23T16:31:23.603261Z,yes,yes,1.0,1
KXNHLGAME-25DEC20EDMMIN-MIN,nhl-edm-min-2025-12-20,2025-11-23T16:31:23.086349Z,yes,yes,1.0,1
KXNHLGAME-25DEC19CARFLA-FLA,nhl-car-fla-2025-12-19,2025-11-22T16:31:15.497086Z,yes,yes,1.0,1
KXNHLGAME-25DEC18DALSJ-DAL,nhl-dal-sj-2025-12-18,2025-11-21T16:31:29.09621Z,yes,yes,1.0,1
KXNHLGAME-25DEC18NYRSTL-NYR,nhl-nyr-stl-2025-12-18,2025-11-21T16:31:27.902302Z,yes,yes,1.0,1
KXNHLGAME-25DEC18CHIMTL-MTL,nhl-chi-mon-2025-12-18,2025-11-21T16:31:29.612456Z,yes,yes,1.0,1
KXNHLGAME-25DEC18TORWSH-WSH,nhl-tor-wsh-2025-12-18,2025-11-21T16:31:27.644687Z,yes,yes,1.0,1
KXNHLGAME-25DEC17CARNSH-CAR,nhl-car-nsh-2025-12-17,2025-11-20T16:31:23.196032Z,yes,yes,1.0,1
KXNHLGAME-25DEC16COLSEA-COL,nhl-col-sea-2025-12-16,2025-11-19T16:31:17.932158Z,yes,yes,1.0,1
KXNHLGAME-25DEC16EDMPIT-EDM,nhl-edm-pit-2025-12-16,2025-11-19T16:31:18.188693Z,yes,yes,1.0,1
KXNHLGAME-25DEC16CHITOR-TOR,nhl-chi-tor-2025-12-16,2025-11-19T16:31:17.165317Z,yes,yes,1.0,1
KXNHLGAME-25DEC16ANACBJ-CBJ,nhl-ana-cbj-2025-12-16,2025-11-19T16:31:17.677104Z,yes,yes,1.0,1
KXNHLGAME-25DEC14PHICAR-CAR,nhl-car-phi-2025-12-14,2025-11-16T16:31:17.268022Z,yes,yes,1.0,1
KXNHLGAME-25DEC14BOSMIN-MIN,nhl-bos-min-2025-12-14,2025-11-17T16:31:18.16363Z,yes,yes,1.0,1
KXNHLGAME-25DEC13ANANJ-NJ,nhl-ana-nj-2025-12-13,2025-11-16T16:31:17.526404Z,yes,yes,1.0,1
KXNHLGAME-25DEC07COLPHI-COL,nhl-col-phi-2025-12-07,2025-11-10T16:31:22.179781Z,yes,yes,1.0,1
KXNHLGAME-25DEC06CBJFLA-FLA,nhl-cbj-fla-2025-12-06,2025-11-09T16:31:09.717261Z,yes,yes,1.0,1
KXNHLGAME-25DEC06COLNYR-COL,nhl-col-nyr-2025-12-06,2025-11-09T16:31:09.459878Z,yes,yes,1.0,1
KXNHLGAME-25DEC04PITTB-PIT,nhl-pit-tb-2025-12-04,2025-11-07T16:31:10.335414Z,yes,yes,1.0,1
KXNHLGAME-25DEC04NYROTT-NYR,nhl-nyr-ott-2025-12-04,2025-11-07T16:31:10.077606Z,yes,yes,1.0,1
KXNHLGAME-25DEC04COLNYI-NYI,nhl-col-nyi-2025-12-04,2025-11-07T16:31:13.364315Z,yes,yes,1.0,1
